date_key,calendar_date,cal_year,cal_month,cal_day,day_of_week,day_of_week_num,is_weekend,month_name,month_sort_key
19331210,1933-12-10,1933,12,10,Sunday,7,True,Dec 1933,1933-12
19331211,1933-12-11,1933,12,11,Monday,1,False,Dec 1933,1933-12
19331212,1933-12-12,1933,12,12,Tuesday,2,False,Dec 1933,1933-12
19331213,1933-12-13,1933,12,13,Wednesday,3,False,Dec 1933,1933-12
19331214,1933-12-14,1933,12,14,Thursday,4,False,Dec 1933,1933-12
19331215,1933-12-15,1933,12,15,Friday,5,False,Dec 1933,1933-12
19331216,1933-12-16,1933,12,16,Saturday,6,True,Dec 1933,1933-12
19331217,1933-12-17,1933,12,17,Sunday,7,True,Dec 1933,1933-12
19331218,1933-12-18,1933,12,18,Monday,1,False,Dec 1933,1933-12
19331219,1933-12-19,1933,12,19,Tuesday,2,False,Dec 1933,1933-12
19331220,1933-12-20,1933,12,20,Wednesday,3,False,Dec 1933,1933-12
19331221,1933-12-21,1933,12,21,Thursday,4,False,Dec 1933,1933-12
19331222,1933-12-22,1933,12,22,Friday,5,False,Dec 1933,1933-12
19331223,1933-12-23,1933,12,23,Saturday,6,True,Dec 1933,1933-12
19331224,1933-12-24,1933,12,24,Sunday,7,True,Dec 1933,1933-12
19331225,1933-12-25,1933,12,25,Monday,1,False,Dec 1933,1933-12
19331226,1933-12-26,1933,12,26,Tuesday,2,False,Dec 1933,1933-12
19331227,1933-12-27,1933,12,27,Wednesday,3,False,Dec 1933,1933-12
19331228,1933-12-28,1933,12,28,Thursday,4,False,Dec 1933,1933-12
19331229,1933-12-29,1933,12,29,Friday,5,False,Dec 1933,1933-12
19331230,1933-12-30,1933,12,30,Saturday,6,True,Dec 1933,1933-12
19331231,1933-12-31,1933,12,31,Sunday,7,True,Dec 1933,1933-12
19340101,1934-01-01,1934,1,1,Monday,1,False,Jan 1934,1934-01
19340102,1934-01-02,1934,1,2,Tuesday,2,False,Jan 1934,1934-01
19340103,1934-01-03,1934,1,3,Wednesday,3,False,Jan 1934,1934-01
19340104,1934-01-04,1934,1,4,Thursday,4,False,Jan 1934,1934-01
19340105,1934-01-05,1934,1,5,Friday,5,False,Jan 1934,1934-01
19340106,1934-01-06,1934,1,6,Saturday,6,True,Jan 1934,1934-01
19340107,1934-01-07,1934,1,7,Sunday,7,True,Jan 1934,1934-01
19340108,1934-01-08,1934,1,8,Monday,1,False,Jan 1934,1934-01
19340109,1934-01-09,1934,1,9,Tuesday,2,False,Jan 1934,1934-01
19340110,1934-01-10,1934,1,10,Wednesday,3,False,Jan 1934,1934-01
19340111,1934-01-11,1934,1,11,Thursday,4,False,Jan 1934,1934-01
19340112,1934-01-12,1934,1,12,Friday,5,False,Jan 1934,1934-01
19340113,1934-01-13,1934,1,13,Saturday,6,True,Jan 1934,1934-01
19340114,1934-01-14,1934,1,14,Sunday,7,True,Jan 1934,1934-01
19340115,1934-01-15,1934,1,15,Monday,1,False,Jan 1934,1934-01
19340116,1934-01-16,1934,1,16,Tuesday,2,False,Jan 1934,1934-01
19340117,1934-01-17,1934,1,17,Wednesday,3,False,Jan 1934,1934-01
19340118,1934-01-18,1934,1,18,Thursday,4,False,Jan 1934,1934-01
19340119,1934-01-19,1934,1,19,Friday,5,False,Jan 1934,1934-01
19340120,1934-01-20,1934,1,20,Saturday,6,True,Jan 1934,1934-01
19340121,1934-01-21,1934,1,21,Sunday,7,True,Jan 1934,1934-01
19340122,1934-01-22,1934,1,22,Monday,1,False,Jan 1934,1934-01
19340123,1934-01-23,1934,1,23,Tuesday,2,False,Jan 1934,1934-01
19340124,1934-01-24,1934,1,24,Wednesday,3,False,Jan 1934,1934-01
19340125,1934-01-25,1934,1,25,Thursday,4,False,Jan 1934,1934-01
19340126,1934-01-26,1934,1,26,Friday,5,False,Jan 1934,1934-01
19340127,1934-01-27,1934,1,27,Saturday,6,True,Jan 1934,1934-01
19340128,1934-01-28,1934,1,28,Sunday,7,True,Jan 1934,1934-01
19340129,1934-01-29,1934,1,29,Monday,1,False,Jan 1934,1934-01
19340130,1934-01-30,1934,1,30,Tuesday,2,False,Jan 1934,1934-01
19340131,1934-01-31,1934,1,31,Wednesday,3,False,Jan 1934,1934-01
19340201,1934-02-01,1934,2,1,Thursday,4,False,Feb 1934,1934-02
19340202,1934-02-02,1934,2,2,Friday,5,False,Feb 1934,1934-02
19340203,1934-02-03,1934,2,3,Saturday,6,True,Feb 1934,1934-02
19340204,1934-02-04,1934,2,4,Sunday,7,True,Feb 1934,1934-02
19340205,1934-02-05,1934,2,5,Monday,1,False,Feb 1934,1934-02
19340206,1934-02-06,1934,2,6,Tuesday,2,False,Feb 1934,1934-02
19340207,1934-02-07,1934,2,7,Wednesday,3,False,Feb 1934,1934-02
19340208,1934-02-08,1934,2,8,Thursday,4,False,Feb 1934,1934-02
19340209,1934-02-09,1934,2,9,Friday,5,False,Feb 1934,1934-02
19340210,1934-02-10,1934,2,10,Saturday,6,True,Feb 1934,1934-02
19340211,1934-02-11,1934,2,11,Sunday,7,True,Feb 1934,1934-02
19340212,1934-02-12,1934,2,12,Monday,1,False,Feb 1934,1934-02
19340213,1934-02-13,1934,2,13,Tuesday,2,False,Feb 1934,1934-02
19340214,1934-02-14,1934,2,14,Wednesday,3,False,Feb 1934,1934-02
19340215,1934-02-15,1934,2,15,Thursday,4,False,Feb 1934,1934-02
19340216,1934-02-16,1934,2,16,Friday,5,False,Feb 1934,1934-02
19340217,1934-02-17,1934,2,17,Saturday,6,True,Feb 1934,1934-02
19340218,1934-02-18,1934,2,18,Sunday,7,True,Feb 1934,1934-02
19340219,1934-02-19,1934,2,19,Monday,1,False,Feb 1934,1934-02
19340220,1934-02-20,1934,2,20,Tuesday,2,False,Feb 1934,1934-02
19340221,1934-02-21,1934,2,21,Wednesday,3,False,Feb 1934,1934-02
19340222,1934-02-22,1934,2,22,Thursday,4,False,Feb 1934,1934-02
19340223,1934-02-23,1934,2,23,Friday,5,False,Feb 1934,1934-02
19340224,1934-02-24,1934,2,24,Saturday,6,True,Feb 1934,1934-02
19340225,1934-02-25,1934,2,25,Sunday,7,True,Feb 1934,1934-02
19340226,1934-02-26,1934,2,26,Monday,1,False,Feb 1934,1934-02
19340227,1934-02-27,1934,2,27,Tuesday,2,False,Feb 1934,1934-02
19340228,1934-02-28,1934,2,28,Wednesday,3,False,Feb 1934,1934-02
19340301,1934-03-01,1934,3,1,Thursday,4,False,Mar 1934,1934-03
19340302,1934-03-02,1934,3,2,Friday,5,False,Mar 1934,1934-03
19340303,1934-03-03,1934,3,3,Saturday,6,True,Mar 1934,1934-03
19340304,1934-03-04,1934,3,4,Sunday,7,True,Mar 1934,1934-03
19340305,1934-03-05,1934,3,5,Monday,1,False,Mar 1934,1934-03
19340306,1934-03-06,1934,3,6,Tuesday,2,False,Mar 1934,1934-03
19340307,1934-03-07,1934,3,7,Wednesday,3,False,Mar 1934,1934-03
19340308,1934-03-08,1934,3,8,Thursday,4,False,Mar 1934,1934-03
19340309,1934-03-09,1934,3,9,Friday,5,False,Mar 1934,1934-03
19340310,1934-03-10,1934,3,10,Saturday,6,True,Mar 1934,1934-03
19340311,1934-03-11,1934,3,11,Sunday,7,True,Mar 1934,1934-03
19340312,1934-03-12,1934,3,12,Monday,1,False,Mar 1934,1934-03
19340313,1934-03-13,1934,3,13,Tuesday,2,False,Mar 1934,1934-03
19340314,1934-03-14,1934,3,14,Wednesday,3,False,Mar 1934,1934-03
19340315,1934-03-15,1934,3,15,Thursday,4,False,Mar 1934,1934-03
19340316,1934-03-16,1934,3,16,Friday,5,False,Mar 1934,1934-03
19340317,1934-03-17,1934,3,17,Saturday,6,True,Mar 1934,1934-03
19340318,1934-03-18,1934,3,18,Sunday,7,True,Mar 1934,1934-03
19340319,1934-03-19,1934,3,19,Monday,1,False,Mar 1934,1934-03
19340320,1934-03-20,1934,3,20,Tuesday,2,False,Mar 1934,1934-03
19340321,1934-03-21,1934,3,21,Wednesday,3,False,Mar 1934,1934-03
19340322,1934-03-22,1934,3,22,Thursday,4,False,Mar 1934,1934-03
19340323,1934-03-23,1934,3,23,Friday,5,False,Mar 1934,1934-03
19340324,1934-03-24,1934,3,24,Saturday,6,True,Mar 1934,1934-03
19340325,1934-03-25,1934,3,25,Sunday,7,True,Mar 1934,1934-03
19340326,1934-03-26,1934,3,26,Monday,1,False,Mar 1934,1934-03
19340327,1934-03-27,1934,3,27,Tuesday,2,False,Mar 1934,1934-03
19340328,1934-03-28,1934,3,28,Wednesday,3,False,Mar 1934,1934-03
19340329,1934-03-29,1934,3,29,Thursday,4,False,Mar 1934,1934-03
19340330,1934-03-30,1934,3,30,Friday,5,False,Mar 1934,1934-03
19340331,1934-03-31,1934,3,31,Saturday,6,True,Mar 1934,1934-03
